model,family,lab,org,date,open_weights,arch,moe,N_total,N_active,N,D,D_src,M,C6,confidence,code,distilled,synthetic,continued,mm,sample,in_A,in_B,uid,core,hf,N_nonemb,N_emb,tied,D_card_verified,base_released,dl30_total,dlall_total,dl30,dl_all,likes,epoch_model,note,D_flag,accessibility,org_cat,country,notable,frontier,C_epoch,C_method,C_D_ratio,D_C_mismatch,year,w_besi,w_chin,w_chin245,w_chin_cl,w_chin_nls,w_farseer,w_farseer_emb,w_farseer_q,w_gadre_c4,w_gadre_rp,w_gadre_rw,w_hoff,w_meta_a2,w_meta_a3,w_olmo,wlo_besi,wlo_chin,wlo_chin245,wlo_chin_cl,wlo_chin_nls,wlo_farseer,wlo_farseer_emb,wlo_farseer_q,wlo_gadre_c4,wlo_gadre_rp,wlo_gadre_rw,wlo_hoff,wlo_meta_a2,wlo_meta_a3,wlo_olmo,whi_besi,whi_chin,whi_chin245,whi_chin_cl,whi_chin_nls,whi_farseer,whi_farseer_emb,whi_farseer_q,whi_gadre_c4,whi_gadre_rp,whi_gadre_rw,whi_hoff,whi_meta_a2,whi_meta_a3,whi_olmo,Mx_besi,Mx_chin,Mx_chin245,Mx_chin_cl,Mx_chin_nls,Mx_farseer,Mx_farseer_emb,Mx_farseer_q,Mx_gadre_c4,Mx_gadre_rp,Mx_gadre_rw,Mx_hoff,Mx_meta_a2,Mx_meta_a3,Mx_olmo,CE_besi,CE_chin,CE_chin245,CE_chin_cl,CE_chin_nls,CE_farseer,CE_farseer_emb,CE_farseer_q,CE_gadre_c4,CE_gadre_rp,CE_gadre_rw,CE_hoff,CE_meta_a2,CE_meta_a3,CE_olmo,band_lo,band_hi,pt_min,pt_max,band_lo_nohoff,band_hi_nohoff,band_lo_core,band_hi_core,n_tech,techs_used,w_eq3,Mstar_eq3_ownC,Cmp,lnw,TD,T,prod,dev,size_class,or_listed,or_providers,or_min_price,arena_votes,arena_matched,age_m,lnM,lnC,lnN,lnD,ln_dlall,ln_dl30,ln_likes,ln_age,yr,or_listed_i,ln_prov,ln_votes,lab2
Llama-2-7b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,2000000000000.0,ObsScaling,296.80558548411165,8.0861011968e+22,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-7b-hf,True,meta-llama/Llama-2-7b-hf,6476273664.0,262144000.0,False,,True,1353768.0,66330947.0,854075.0,34451637.0,2418.0,Llama 2-7B,,,,,,,,,,,False,2023,2.650273132254894,2.6733050016617095,4.104752600266958,2.6733050016617095,3.484294753574848,2.2570366558014765,2.0804294837014465,3.038449160356215,2.6938666973743213,2.9523104898420156,3.6554396046419817,1.745456331687252,1.9496058987400355,2.682193421347535,,,2.154175488191941,2.486218718992641,1.5087701543278946,2.57971898788549,1.931398793392595,1.7896811955510608,2.9178119929692845,0.9902690407121771,2.1573075637684966,1.8811497103411854,,1.6975426890146474,1.9471196002256987,,,3.6682057296010764,7.906969793615162,4.801027063401003,4.432602530378835,2.5636767232068456,2.4129908984144537,3.121597021287915,5.950636037425734,5.5054426235424865,5.882928762150234,,2.251273425740544,3.235963077844247,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5294654083973831,0.524422372558022,0.3355834086726665,0.524422372558022,0.40533169859549234,0.584301873213792,0.6975183424783113,0.4916979214641534,0.4017992419025693,0.3453563348269307,0.23199730910811173,0.7792772971996972,0.6667518070331148,0.46368563234569526,,1.6975426890146474,5.882928762150234,1.745456331687252,3.6554396046419817,1.6975426890146474,5.882928762150234,1.6975426890146474,3.6682057296010764,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",1.9934241953398624,75.85569935795229,8.0861011968e+22,0.9833155352720019,5.019915004985128,10039830009970.256,True,Meta,4-9B,False,0,,15694.0,True,38.206307490144546,5.693077330132699,52.74701873207234,22.631090966355796,28.324168296488494,18.01016713357509,14.118403112286567,7.791109510610028,3.6430006195251794,2023,0,0.0,9.661097469276054,Meta
Llama-2-13b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,2000000000000.0,ObsScaling,153.6586090222828,1.5619040256e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-13b-hf,True,meta-llama/Llama-2-13b-hf,12688186880.0,327680000.0,False,,True,187130.0,19661090.0,29828.0,3568191.0,637.0,Llama 2-13B,,,,,,,,,,,False,2023,2.1078967633270964,2.126900483529219,3.2614680626039996,2.126900483529219,2.7533873160790505,1.868969290803647,1.5488391668124613,2.3350383613381904,2.2811894028413375,2.515709487041179,3.157174377232009,1.3961322577668787,1.6059777865610376,2.2255031441806934,,,1.6932259134439944,1.9779328234568596,1.1642539823215483,2.0510474590098733,1.5673858823564366,1.2819195026592198,2.2383856597857563,0.805958617352352,1.817576222285422,1.5743292165358225,,1.4431959901904876,1.5757412346070143,,,2.90298300601002,6.304146431804057,3.9354318617897985,3.5288812907973792,2.159888762622118,1.858454288144012,2.4081394625264414,5.042298027500732,4.764030862370869,5.136488565830431,,1.8990024064508748,2.691584785377117,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6848141008239171,0.6792108853451955,0.455000351672113,0.6792108853451955,0.5434787003528738,0.7250381505732665,0.8797999244193562,0.655164382943645,0.5275644357827388,0.4567617477024136,0.3103384318346385,0.9142342571066396,0.8146619335289855,0.598508371823566,,1.2819195026592198,5.136488565830431,1.3961322577668787,3.157174377232009,1.2819195026592198,5.136488565830431,1.2819195026592198,2.90298300601002,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",1.303682208541998,95.07803789279313,1.5619040256e+23,0.7546657478782297,3.3807014505876567,6761402901175.313,True,Meta,9-16B,False,0,,21220.0,True,38.206307490144546,5.034733317090062,53.40536274511498,23.289434979398433,28.324168296488494,16.794152164531184,12.139564185336143,6.45833828334479,3.6430006195251794,2023,0,0.0,9.96274653641105,Meta
Llama-2-70b-hf,Llama-2,Meta,Meta AI,2023-07-18 00:00:00,True,dense,False,68976653312.0,68976653312.0,68976653312.0,2000000000000.0,ObsScaling,28.99531803831451,8.27719839744e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-2-70b-hf,True,meta-llama/Llama-2-70b-hf,68452365312.0,524288000.0,False,,True,8903.0,7481398.0,3455.0,2548499.0,855.0,Llama 2-70B,,,,,,,,,,,False,2023,1.18021867833114,1.1918314124898022,1.821505949545367,1.1918314124898022,1.5166035984392487,1.1648104542371922,0.7335135630985895,1.2069609234298646,1.4970623244087393,1.677303486503957,2.1781836598043975,0.7929906703043148,0.9827447170950885,1.387064952084518,,,0.9320669533498651,1.0813241658755564,0.6039024726273844,1.110340467637225,0.9055308252945523,0.5517513796680229,1.1408583752837274,0.4762354765925363,1.2238719960526947,1.002945477901319,,0.9066960237717054,0.9224321988669308,,,1.668174640132153,3.5515516272205723,2.3656631584094936,1.962385385958296,1.4360545109077496,0.9563440070004728,1.260504892079169,3.5786347410782615,3.662404324053605,3.7746683380052937,,1.2077200103349344,1.7246847048801681,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9809936467354168,0.9787396865865773,0.8062423823416659,0.9787396865865773,0.897331330546606,0.9806111761700271,0.9401425405238779,0.9786599179300476,0.8549762727787011,0.7758385519962029,0.5719136408460088,0.9581816285714929,0.9997240725637094,0.9153719931331412,,0.5517513796680229,3.7746683380052937,0.7335135630985895,2.1781836598043975,0.5517513796680229,3.7746683380052937,0.5517513796680229,1.7246847048801681,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",0.2540719962475653,180.0311792730923,8.27719839744e+23,0.17549112616564422,0.5754942374694065,1150988474938.813,True,Meta,40-80B,False,0,,42764.0,True,38.206307490144546,3.3671343699978395,55.0729616922072,24.957033926490652,28.324168296488494,15.827930364547901,9.094255892955381,6.752270376141742,3.6430006195251794,2023,0,0.0,10.663475290014881,Meta
llama-7b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,6738417664.0,6738417664.0,6738417664.0,1000000000000.0,ObsScaling,148.40279274205582,4.0430505984e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-7b,True,huggyllama/llama-7b,6476273664.0,262144000.0,False,,True,246007.0,7861305.0,246007.0,7861305.0,360.0,LLaMA-7B,,,,,,,,,,,False,2023,2.056713796883969,2.0726147995349407,2.9985103922084,2.0726147995349407,2.590527776055702,1.8185184943156285,1.6748530199841105,2.262669048701037,2.2461421622458957,2.443313549099569,2.9902622556974303,1.4326679393101784,1.6346976205407564,2.15510330907421,,,1.7008293197222655,1.9363480487764744,1.2589966643592356,2.0049048447874718,1.5707171739813022,1.4457750656993562,2.1847731778026382,0.8711851675190756,1.8190398555166511,1.598076162443005,,1.4687744568807564,1.6042774326465257,,,2.723058516345972,5.283683660391862,3.5263196902524725,3.2027973554962275,2.049439299420803,1.932889311662023,2.3193633250879846,4.452843255180459,4.391176496969366,4.5372334918948285,,1.8770287288425085,2.5435973155641065,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7014316252505163,0.6967001873964138,0.5034762789754985,0.6967001873964138,0.5816740748184095,0.7448772692764281,0.8367537105253876,0.6750225095045023,0.5399043696119435,0.478719207349114,0.3433703659939925,0.9011450669775375,0.8020794454944078,0.6224607671408158,,1.4326679393101784,4.5372334918948285,1.4326679393101784,2.9902622556974303,1.4457750656993562,4.5372334918948285,1.4457750656993562,2.723058516345972,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",1.575247248883648,61.23281357354625,4.0430505984e+22,0.7288109983074484,3.217844398604822,3217844398604.822,True,Meta,4-9B,False,0,,,False,42.93692509855453,4.999930149572753,52.0538715515124,22.631090966355796,27.631021115928547,15.877463308363533,12.41311933471093,5.8888779583328805,3.7597321806307367,2023,0,0.0,,Meta
llama-13b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,13015866880.0,13015866880.0,13015866880.0,1000000000000.0,ObsScaling,76.8293045111414,7.809520128e+22,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-13b,True,huggyllama/llama-13b,12688186880.0,327680000.0,False,,True,1284.0,1055759.0,1284.0,1055759.0,145.0,LLaMA-13B,,,,,,,,,,,False,2023,1.6358088918379992,1.6489870839880008,2.3824933758341156,1.6489870839880008,2.0471076143096507,1.5058484814140043,1.2468954013236766,1.7388538523745138,1.902052429982762,2.0819853116516076,2.582665943352813,1.1459432633332314,1.3465737193497793,1.7881593296762561,,,1.3405021097207062,1.548421542511762,0.9715143661910159,1.57235907146383,1.2661675352885942,1.0376941736093077,1.6703330180483942,0.7087321079694636,1.5351193166963344,1.342050202770745,,1.2486162489894,1.2985634058812323,,,2.1914852202159083,4.212627133258773,2.8844198731833326,2.5390443809985603,1.7362159170160778,1.5016723095522675,1.7923543086799933,3.7709563240443797,3.842387087236555,4.225582354207143,,1.5833181488724914,2.1478327933842736,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.845916629902619,0.8415733535368723,0.6440990460343219,0.8415733535368723,0.7308139511387707,0.8697789564659603,0.9681710900805761,0.8322469556921996,0.6748909114513296,0.6048207603849052,0.44245324978118933,0.9851953831455764,0.9222112263686734,0.7594288038088858,,1.0376941736093077,4.225582354207143,1.1459432633332314,2.582665943352813,1.0376941736093077,4.225582354207143,1.0376941736093077,2.1914852202159083,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",1.0239174960809174,75.35301278538222,7.809520128e+22,0.5001612109136762,1.9469612519640023,1946961251964.0022,True,Meta,9-16B,False,0,,,False,42.83837056504599,4.3415861365301165,52.71221556455504,23.289434979398433,27.631021115928547,13.869771444690711,7.158513997329321,4.983606621708336,3.757434209493113,2023,0,0.0,,Meta
llama-30b,Llama,Meta,Meta AI,2023-02-27 00:00:00,True,dense,False,32528947456.0,32528947456.0,32528947456.0,1400000000000.0,ObsScaling,43.03858899503889,2.732431586304e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-30b,True,huggyllama/llama-30b,32102963456.0,425984000.0,False,,True,1596.0,618296.0,1596.0,618296.0,48.0,LLaMA-33B,,,,,,,,,,,False,2023,1.345341173485921,1.3574142257492832,2.0150197841415407,1.3574142257492832,1.7036087299885652,1.2889286986889192,0.918869525727046,1.3949745687410924,1.6484217780335317,1.826724916463058,2.3220293173575697,0.9244049883915801,1.1199827020960993,1.5337343959844665,,,1.0816565172905748,1.2473604693844285,0.7395840728956246,1.2774571968537336,1.0360916024648479,0.7251499010517417,1.3283657404707936,0.5656406157136614,1.3517561236697881,1.1307647396259801,,1.0373098304495048,1.0629296514625393,,,1.850770138350878,3.738142403766772,2.5359972138192406,2.148487526331661,1.5380778193788742,1.1579934322836785,1.4468069457789878,3.5950505321345316,3.65831205074354,3.9281668610830334,,1.3482983968185758,1.875872600676092,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9405577045299887,0.9371493731340276,0.7472812712377997,0.9371493731340276,0.8387090012064857,0.9474262919512104,0.9953323431874371,0.9349999852217382,0.7870894998339649,0.7099074146902908,0.5219851412619178,0.9950745671816068,0.9883414101101706,0.8603918662951952,,0.7251499010517417,3.9281668610830334,0.918869525727046,2.3220293173575697,0.7251499010517417,3.9281668610830334,0.7251499010517417,1.875872600676092,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",0.5487824783669739,116.74450795732373,2.732431586304e+23,0.3055815853779436,1.0722426772478495,1501139748146.9893,True,Meta,16-40B,False,0,,,False,42.83837056504599,3.7620971317436194,53.96464904258396,24.20539622080614,27.967493352549763,13.334724203521304,7.3758821482150125,3.8918202981106265,3.757434209493113,2023,0,0.0,,Meta
llama-65b,Llama,Meta,Meta AI,2023-02-24 00:00:00,True,dense,False,65285665792.0,65285665792.0,65285665792.0,1400000000000.0,ObsScaling,21.444217241505925,5.483995926528e+23,Confident,False,False,False,False,False,B,True,True,B:huggyllama/llama-65b,True,huggyllama/llama-65b,64761377792.0,524288000.0,False,,True,800.0,291920.0,800.0,291920.0,78.0,LLaMA-65B,,,,,,,,,,,False,2023,1.055859908216432,1.0656985131255488,1.5797758021863384,1.0656985131255488,1.3279269630362807,1.058596951809261,0.6724383045399586,1.0598323055069685,1.3824601152099483,1.542156576609991,1.9884947112845917,0.729857470559373,0.9122321941301604,1.2588460810305449,,,0.8422260642391607,0.9686263485278651,0.555408877779532,0.9911632443558805,0.8260373863172629,0.5081287895582096,1.0048395820012643,0.45619096773161155,1.1366438332092923,0.9370782879563802,,0.8466863044701581,0.8499057617321841,,,1.4552664647959532,2.9413637518076867,2.050261104629888,1.6988622770282005,1.3011644800866056,0.8714688644976275,1.106804381023746,3.162354972408378,3.3496764993545063,3.3346929303230226,,1.1098246097035251,1.5502516522223377,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9979331862857377,0.9971727480092045,0.8809749212089777,0.9971727480092045,0.9506349764071677,0.9972690173587256,0.9044216755040438,0.9979370696543352,0.9037283974818082,0.8361791995420231,0.6443720827634619,0.9245855205858924,0.9923595413724081,0.9570097298772764,,0.5081287895582096,3.3346929303230226,0.6724383045399586,1.9884947112845917,0.5081287895582096,3.3346929303230226,0.5081287895582096,1.5502516522223377,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",0.23119250258483778,152.6188447918213,5.483995926528e+23,0.06363046503459374,0.19709553937664626,275933755127.30475,True,Meta,40-80B,False,0,,,False,42.93692509855453,3.065455016556857,54.66129115777072,24.902038335992906,27.967493352549763,12.584238496700516,6.68586094706836,4.3694478524670215,3.7597321806307367,2023,0,0.0,,Meta
Meta-Llama-3-70B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,70553706496.0,70553706496.0,70553706496.0,15000000000000.0,ObsScaling,212.60399694026583,6.34983358464e+24,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-70B,True,meta-llama/Meta-Llama-3-70B,68452360192.0,2101346304.0,False,,True,194673.0,10517010.0,75486.0,4075057.0,881.0,Llama 3-70B,,,,,,,,,,,False,2024,2.4470637996795497,2.478012002522387,4.502430637067261,2.478012002522387,3.560863779758587,2.182641117040486,1.363854574140681,2.8435780409639975,2.5247990283987716,2.891489372223892,3.885780241112719,1.3971494455833866,1.6291222457773489,2.603345822823296,,,1.8143763971721405,2.2529023966700357,1.0130017128649678,2.369015247649529,1.681361816741848,1.0184684413572667,2.6617278506598896,0.6818280551886928,1.9997245083497979,1.6085808758277118,,1.4459775377083273,1.6069507865283703,,,3.8102459045344363,11.375190809950324,5.796884040232156,4.981433889142195,2.7037083854652417,1.8061609209373881,2.9777318511981723,7.379599235069605,6.643781163039816,7.549065470329678,,2.081186606677448,3.374760914212854,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5830640769205141,0.5751717825814313,0.2938512914736718,0.5751717825814313,0.39358159019111777,0.6093890987491982,0.9378268141566122,0.5317444869133193,0.4490967388108981,0.35888942134688406,0.2039828731733756,0.9138760303616067,0.8045245157267349,0.48446991142523776,,1.0184684413572667,7.549065470329678,1.363854574140681,3.885780241112719,1.0184684413572667,7.549065470329678,1.0184684413572667,3.8102459045344363,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",0.6207989672358017,436.092423179171,6.34983358464e+24,0.9074566268281449,4.43403600756716,66510540113507.4,True,Meta,40-80B,False,0,,163997.0,True,29.17214191852825,5.359431266014595,57.110470837274974,24.979640051016162,30.339071317030758,16.168504599427262,12.179081643665588,6.782192056006791,3.373214209998685,2024,0,0.0,12.007609511610022,Meta
Meta-Llama-3-8B,Llama-3,Meta,Meta AI,2024-04-18 00:00:00,True,dense,False,8030261248.0,8030261248.0,8030261248.0,15000000000000.0,ObsScaling,1867.9342473118008,7.2272351232e+23,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Meta-Llama-3-8B,True,meta-llama/Meta-Llama-3-8B,6979588096.0,1050673152.0,False,,True,1458239.0,95523445.0,261762.0,47106818.0,6702.0,Llama 3-8B,,,,,,,,,,,False,2024,5.210693281718812,5.270983254526004,9.618893229995704,5.270983254526004,7.745847843151281,4.141398944159429,3.612211366907171,6.951798032199174,4.371230695204963,4.903908343171348,6.303094197886581,2.919957194659215,3.0897070134167275,4.82072818897105,,,3.965813096813232,4.8548801808988635,2.382915882273204,5.055107301216196,3.487902123035167,3.0121139410002806,6.5440350772002525,1.3609147976934175,3.3991138181270464,2.878771593120445,,2.4761854156696548,3.3084761875794366,,,8.120361343871785,24.02802790511866,11.25955837832859,10.723532958365684,4.821584049784942,4.294251652834781,7.234720410147257,11.83800966100004,11.027423681804908,12.013186342082193,,3.6497224889389273,6.183133669643633,,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,0.18184554963365837,0.17872598525195607,0.08292956062845687,0.17872598525195607,0.11157060750458649,0.2135726910188245,0.3351001769727746,0.1397757414407483,0.14520135679044907,0.11422994882632977,0.06459826752199893,0.4043265754964453,0.3223127701212324,0.15944938060626038,,2.4761854156696548,12.013186342082193,2.919957194659215,6.303094197886581,2.4761854156696548,12.013186342082193,2.4761854156696548,8.120361343871785,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",3.598165757112783,161.57398949119212,7.2272351232e+23,1.662216920961555,12.812949763578011,192194246453670.16,True,Meta,4-9B,False,0,,111021.0,True,29.17214191852825,7.532588418657387,54.93731368463219,22.80648289837337,30.339071317030758,18.37488228317224,14.192740787057655,8.810310466357958,3.373214209998685,2024,0,0.0,11.617483658854,Meta
Llama-3.1-405B,Llama-3.1,Meta,Meta AI,2024-07-23 00:00:00,True,dense,False,405853388800.0,405853388800.0,405853388800.0,15600000000000.0,ObsScaling; fix: 405B: 15.6T per Llama 3 herd report (card: ~15T for all 3.1 sizes),38.437525546170825,3.798787719168e+25,Confident,False,False,False,False,False,B,True,True,B:meta-llama/Llama-3.1-405B,True,meta-llama/Llama-3.1-405B,401650696192.0,4202692608.0,False,,True,581157.0,28100697.0,103458.0,21315204.0,989.0,Llama 3.1-405B,,,,,,,,,,,False,2024,1.3508293451261097,1.369159122056123,2.4873608797450175,1.369159122056123,1.9368927672298968,1.3449705466878101,0.6302803281271875,1.4462019878230066,1.6397408640305073,1.9101356462318133,2.6624492359207097,0.7804673941986565,0.9828634552047036,1.605011518049965,,,0.985897655787886,1.2096168544356032,0.5140381277711966,1.257862323134591,0.9526519791420469,0.42173746645921684,1.3346751913512644,0.3892643263107641,1.290526591848159,0.9968135286569307,,0.8750984609943671,0.926437567351393,,,2.2160387727484405,6.373819990891518,3.4587454527277712,2.756751005271949,1.7683904433742235,0.9018418060729064,1.5313086586395093,5.214766660784517,5.154418364226632,5.7320066393285645,,1.3084384018653057,2.141054844568622,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9389740758008314,0.9336965209633811,0.6172712117349648,0.9336965209633811,0.7647326942213222,0.9291251968694187,0.873613959352404,0.9208714177714238,0.7910143191362892,0.6742990359688675,0.42077483878040367,0.9524238377322004,0.9997278883653157,0.8323074841199487,,0.42173746645921684,5.7320066393285645,0.6302803281271875,2.6624492359207097,0.42173746645921684,5.7320066393285645,0.42173746645921684,2.2160387727484405,8,"chin,besi,hoff,farseer,farseer_emb,gadre_rw,meta_a2,meta_a3",-0.21910150690706648,1064.2414933979082,3.798787719168e+25,0.31419677187919426,1.107477366168369,17276646912226.557,True,Meta,>80B,False,0,,134443.0,True,26.018396846254927,3.649034210182342,58.899309319413796,26.7292578200017,30.37829203018404,17.151304973853122,13.272777943786277,6.897704943128636,3.258803858820941,2024,0,0.0,11.808903034446116,Meta
